mid|title|year|star_rating|mpaa|country|comments|imdb_id|theater_viewings|tmdb_id|parent_mid|remake_of_mid|runtime
4|8½|1963|****|NR|Italy||tt0056801|0|422|||138
22|The 400 Blows|1959|****|NR|France||tt0053198|0|147|||99
46|Aguirre, Wrath of God|1972|****|NR|Germany||tt0068182|0|2000|||93
76|Amarcord|1974|***½|R|Italy||tt0071129|0|7857|||123
77|Amelie|2001|***½|R|France||tt0211915|1|194|||122
96|The Anderson Platoon|1967|***½|NR|France||tt0062244|0|66569|||65
127|Au Revoir Les Enfants|1987|****|PG|France||tt0092593|0|1786|||104
131|Autumn Sonata|1978|****|PG|Sweden||tt0077711|0|12761|||90
156|Baran|2002|***½|PG|Iran||tt0233841|1|43774|||94
166|Battleship Potemkin|1925|***½|NR|USSR||tt0015648|0|643|||75
192|The Bicycle Thief|1948|****|NR|Italy||tt0040522|0|5156|||93
283|Cache|2005|****|R|France||tt0387898|0|445|||117
307|Central Station|1998|***½|R|Brazil||tt0140888|0|666|||113
312|Character|1997|****|R|The Netherlands||tt0119448|0|17139|||122
320|Children of Heaven|1998|****|PG|Iran||tt0118849|0|21334|||89
321|Children of Paradise|1945|***½|NR|France||tt0037674|0|2457|||190
356|The Color of Paradise|2000|****|PG|Iran||tt0191043|0|17078|||90
379|The Counterfeiters|2007|***½|R|Austria||tt0813547|1|7862|||98
412|Day for Night|1973|***½|PG|France||tt0070460|0|1675|||115
447|Diary of a Country Priest|1951|***½|NR|France||tt0042619|0|43376|||115
485|The Dreamlife of Angels|1999|***½|R|France||tt0120449|0|9840|||113
513|Encounters at the End of the World|2008|***½|G|Germany||tt1093824|1|12172|||99
547|Fanny & Alexander|1983|****|R|Sweden||tt0083922|0|5961|||188
575|Fitzcarraldo|1982|****|PG|Germany||tt0083946|1|9343|||158
677|Grave of the Fireflies|1988|****|PG|Japan||tt0095327|0|12477|||89
762|House of Flying Daggers|2004|***½|PG-13|China||tt0385004|1|9550|||119
792|Il Postino|1995|***½|PG|Italy||tt0110877|0|11010|||108
795|I'm Not Scared|2004|***½|R|Italy||tt0326977|1|25300|||108
854|Jean de Florette|1987|****|PG|France||tt0091288|0|4480|||120
910|La Strada|1954|****|NR|Italy||tt0047528|0|405|||104
916|The Last Battle|1983|***½|R|France||tt0085426|0|19184|||90
920|The Last Laugh|1924|****|NR|Germany||tt0015064|0|5991|||90
926|Last Tango in Paris|1973|****|X|Italy||tt0070849|0|1643|||129
928|Last Train Home|2010|***½|NR|China||tt1512201|0|45576|||85
931|L'atalante|1934|***½|NR|France||tt0024844|0|43904|||89
936|Le Boucher|1970|***½|PG|France||tt0064106|0|2912|||90
937|Le Samourai|1967|***½|NR|France||tt0062229|0|5511|||105
952|Life is Beautiful|1998|****|PG-13|Italy||tt0118799|1|637|||116
991|M|1931|****|NR|Germany||tt0022100|0|832|||117
1012|Man With a Movie Camera|1929|****|NR|USSR||tt0019760|0|26317|||68
1061|Metropolis|1926|****|NR|Germany||tt0017136|0|19|||153
1065|Microcosmos|1997|****|G|France||tt0117040|0|9305|||80
1140|My Father's Glory|1991|***½|G|France||tt0099669|0|12716|||105
1144|My Life as a Dog|1985|****|NR|Sweden||tt0089606|0|8816|||101
1146|My Mother's Castle|1991|***½|PG|France||tt0099266|0|12717|||99
1148|My Neighbor Totoro|1988|***½|G|Japan||tt0096283|0|8392|||86
1181|Nights of Cabiria|1957|****|NR|Italy||tt0050783|0|19426|||110
1186|No Man's Land|2001|***½|R|Bosnia||tt0283509|0|8342|||98
1217|Orpheus|1950|***½|NR|France||tt0041719|0|4558|||95
1244|Pather Panchali|1955|***½|NR|India||tt0048473|0|5801|||125
1257|Persona|1966|****|NR|Sweden||tt0060827|0|797|||85
1287|Ponette|1996|***½|NR|France||tt0117359|0|38523|||97
1288|Ponyo|2009|***½|G|Japan||tt0876563|1|12429|||100
1307|Princess Mononoke|1999|****|PG-13|Japan||tt0119698|0|128|||134
1334|Ran|1985|***½|R|Japan||tt0089881|0|11645|||162
1345|Red|1994|****|R|Poland||tt0111495|0|110|||99
1350|The Red Violin|1999|****|R|Canada||tt0120802|1|14283|||131
1398|Run Lola Run|1999|***½|R|Germany||tt0130827|0|104|||81
1446|Seven Samurai|1954|***½|NR|Japan||tt0047478|0|346|||207
1449|The Seventh Seal|1957|***½|NR|Sweden||tt0050976|0|490|||97
1515|The Son|2003|***½|NR|France||tt0291172|0|35172|||103
1537|Spirited Away|2002|***½|PG|Japan|Originally rated ****|tt0245429|1|129|||125
1560|The Story of the Weeping Camel|2004|***½|PG|Germany||tt0373861|0|1114|||91
1568|Stroszek|1978|***½|NR|Germany||tt0075276|0|11698|||107
1626|Thirty Two Short Films About Glenn Gould|1994|****|NR|Canada||tt0108328|0|20967|||93
1668|The Triplets of Belleville|2003|***½|PG-13|France||tt0286244|1|9662|||80
1691|Umberto D|1952|***½|NR|Italy||tt0045274|0|833|||89
1705|Valentin|2004|***½|PG-13|Argentina||tt0296915|0|30125|||82
1719|The Virgin Spring|1960|****|NR|Sweden||tt0053976|0|11656|||89
1721|The Visual Bible: Matthew|1997|***½|NR|South Africa||tt0301359|0|38298|||265
1767|The White Diamond|2004|***½|NR|Germany||tt0435776|0|23965|||90
1781|Winged Migration|2002|***½|G|France||tt0301727|1|11516|||98
1783|Wings of Desire|1988|***½|PG-13|Germany||tt0093191|0|144|||128
1787|With a Friend Like Harry|2001|***½|R|France||tt0216800|1|47943|||117
1799|The World of Apu|1959|***½|NR|India||tt0052572|0|896|||117
1827|The Illusionist|2010|***½|PG|France||tt0775489|0|41201|||80
2028|Z|1969|***½|PG|France||tt0065234|0|2721|||127
3340|The Artist|2011|****|PG-13|France||tt1655442|1|74643|||100
3400|A Separation|2011|****|PG-13|Iran||tt1832382|0|60243|||123
3485|The Wind Rises|2013|***½|PG-13|Japan||tt2013293|1|149870|||126
3526|The Silence|2010|***½|NR|Germany||tt1361835|0|60534|||120
3532|Oslo, August 31st|2011|***½|NR|Norway||tt1736633|0|75233|||95
3588|Tell No One|2006|***½|R|France||tt0362225|0|10795|||131
3630|Nausicaa of the Valley of the Wind|1984|***½|PG|Japan||tt0087544|0|81|||117
3668|The Cabinet of Dr. Caligari|1920|***½|NR|Germany||tt0010323|0|234|||78
3887|Cartel Land|2015|***½|R|Mexico||tt4126304|0|317952|||100
4161|Boy and the World|2014|***½|PG|Brazil||tt3183630|0|223706|||85
